date (UTC)	so2_110
14.03.2016 18:15	1,01394
14.03.2016 18:45	0,939706667
14.03.2016 19:15	0,55282
14.03.2016 19:45	0
14.03.2016 20:15	1,573746667
14.03.2016 20:45	0,129253333
14.03.2016 21:15	0
14.03.2016 21:45	0,17292
14.03.2016 22:15	0,433173333
14.03.2016 22:45	0
14.03.2016 23:15	0,161566667
14.03.2016 23:45	1,1921
15.03.2016 0:15	1,070706667
15.03.2016 0:45	0,270733333
15.03.2016 1:15	0,875953333
15.03.2016 1:45	0,121393333
15.03.2016 2:15	1,11874
15.03.2016 2:45	0,819186667
15.03.2016 3:15	0,011353333
15.03.2016 3:45	0,20174
15.03.2016 4:15	0,048033333
15.03.2016 4:45	0,994726667
15.03.2016 5:15	1,53532
15.03.2016 5:45	0,483826667
15.03.2016 6:15	0,705653333
15.03.2016 6:45	0
15.03.2016 7:15	0,262873333
15.03.2016 7:45	0
15.03.2016 8:15	0,39824
15.03.2016 8:45	0,661986667
15.03.2016 9:15	0,092573333
15.03.2016 9:45	0,942326667
15.03.2016 10:15	0,205233333
15.03.2016 10:45	0,675086667
15.03.2016 11:15	0,352826667
15.03.2016 11:45	0
15.03.2016 12:15	0
15.03.2016 12:45	0
15.03.2016 13:15	0,193006667
15.03.2016 13:45	0
15.03.2016 14:15	0,2751
15.03.2016 14:45	0,13362
15.03.2016 15:15	0,300426667
15.03.2016 15:45	0
15.03.2016 16:15	0,071613333
15.03.2016 16:45	0
15.03.2016 17:15	0,330993333
15.03.2016 17:45	1,861946667
15.03.2016 18:15	0,635786667
15.03.2016 18:45	0,886433333
15.03.2016 19:15	0
15.03.2016 19:45	0,89604
15.03.2016 20:15	0,494306667
15.03.2016 20:45	0
15.03.2016 21:15	0
15.03.2016 21:45	0,6812
15.03.2016 22:15	0,517013333
15.03.2016 22:45	1,32572
15.03.2016 23:15	0
15.03.2016 23:45	0,61046
16.03.2016 0:15	0,886433333
16.03.2016 0:45	0,284706667
16.03.2016 1:15	0,241913333
16.03.2016 1:45	0,675086667
16.03.2016 2:15	0
16.03.2016 2:45	0
16.03.2016 3:15	0,4978
16.03.2016 3:45	0,936213333
16.03.2016 4:15	1,504753333
16.03.2016 4:45	0
16.03.2016 5:15	0,375533333
16.03.2016 5:45	0
16.03.2016 6:15	1,612173333
16.03.2016 6:45	0,055893333
16.03.2016 7:15	0,75587
16.03.2016 7:45	0,012226667
16.03.2016 8:15	0
16.03.2016 8:45	0,084713333
16.03.2016 9:15	0,160693333
16.03.2016 9:45	0,024453333
16.03.2016 10:15	0,984246667
16.03.2016 10:45	1,310873333
16.03.2016 11:15	0,224446667
16.03.2016 11:45	0,365053333
16.03.2016 12:15	0,248026667
16.03.2016 12:45	0,117026667
16.03.2016 13:15	0
16.03.2016 13:45	0,001746667
16.03.2016 14:15	0
16.03.2016 14:45	1,06372
16.03.2016 15:15	0,679453333
16.03.2016 15:45	0,34846
16.03.2016 16:15	1,04276
16.03.2016 16:45	0,54234
16.03.2016 17:15	1,229653333
16.03.2016 17:45	0,325753333
16.03.2016 18:15	0,24366
16.03.2016 18:45	0,242786667
16.03.2016 19:15	1,35454
16.03.2016 19:45	1,217426667
16.03.2016 20:15	1,558026667
16.03.2016 20:45	0,6681
16.03.2016 21:15	0
16.03.2016 21:45	0,92748
16.03.2016 22:15	0,329246667
16.03.2016 22:45	0
16.03.2016 23:15	1,0742
16.03.2016 23:45	0,420073333
17.03.2016 0:15	0,6943
17.03.2016 0:45	0,59474
17.03.2016 1:15	0,68382
17.03.2016 1:45	0,696046667
17.03.2016 2:15	1,028786667
17.03.2016 2:45	0,253266667
17.03.2016 3:15	0
17.03.2016 3:45	0,45064
17.03.2016 4:15	0
17.03.2016 4:45	0,347586667
17.03.2016 5:15	0,66024
17.03.2016 5:45	0,62618
17.03.2016 6:15	0,64714
17.03.2016 6:45	0,435793333
17.03.2016 7:15	0,166806667
17.03.2016 7:45	0,722246667
17.03.2016 8:15	0,20436
17.03.2016 8:45	0,303046667
17.03.2016 9:15	1,09254
17.03.2016 9:45	0,324006667
17.03.2016 10:15	0,46898
17.03.2016 10:45	0,59998
17.03.2016 11:15	0
17.03.2016 11:45	1,75802
17.03.2016 12:15	0,129253333
17.03.2016 12:45	0,122266667
17.03.2016 13:15	1,447986667
17.03.2016 13:45	0,502166667
17.03.2016 14:15	1,041886667
17.03.2016 14:45	0,483826667
17.03.2016 15:15	1,32834
17.03.2016 15:45	0,51352
17.03.2016 16:15	0,887306667
17.03.2016 16:45	0,396493333
17.03.2016 17:15	0,617446667
17.03.2016 17:45	0,069866667
17.03.2016 18:15	0,122266667
17.03.2016 18:45	0,57902
17.03.2016 19:15	0
17.03.2016 19:45	0,221826667
17.03.2016 20:15	0
17.03.2016 20:45	0,6681
17.03.2016 21:15	0,44278
17.03.2016 21:45	1,027913333
17.03.2016 22:15	0
17.03.2016 22:45	1,584226667
17.03.2016 23:15	0,17816
17.03.2016 23:45	0,7467
18.03.2016 0:15	4,120386667
18.03.2016 0:45	1,612173333
18.03.2016 1:15	1,35978
18.03.2016 1:45	0
18.03.2016 2:15	0,43492
18.03.2016 2:45	2,037486667
18.03.2016 3:15	1,966746667
18.03.2016 3:45	0,18864
18.03.2016 4:15	1,948406667
18.03.2016 4:45	0,77552
18.03.2016 5:15	0
18.03.2016 5:45	1,806926667
18.03.2016 6:15	1,825266667
18.03.2016 6:45	2,222633333
18.03.2016 7:15	0,76504
18.03.2016 7:45	0,692553333
18.03.2016 8:15	0
18.03.2016 8:45	0,420073333
18.03.2016 9:15	0,55282
18.03.2016 9:45	0
18.03.2016 10:15	0,763293333
18.03.2016 10:45	0,218333333
18.03.2016 11:15	0,0131
18.03.2016 11:45	1,007826667
18.03.2016 12:15	0,57116
18.03.2016 12:45	0,986866667
18.03.2016 13:15	1,29166
18.03.2016 13:45	0,21222
18.03.2016 14:15	0,313526667
18.03.2016 14:45	0,806086667
18.03.2016 15:15	1,052366667
18.03.2016 15:45	1,2314
18.03.2016 16:15	1,148433333
18.03.2016 16:45	1,44886
18.03.2016 17:15	0
18.03.2016 17:45	0,281213333
18.03.2016 18:15	0,337106667
18.03.2016 18:45	0,685566667
18.03.2016 19:15	0,420073333
18.03.2016 19:45	0,093446667
18.03.2016 20:15	0,535353333
18.03.2016 20:45	1,544053333
18.03.2016 21:15	0,02096
18.03.2016 21:45	0,289073333
18.03.2016 22:15	1,089046667
18.03.2016 22:45	0,13362
18.03.2016 23:15	1,128346667
18.03.2016 23:45	0,88556
19.03.2016 0:15	0
19.03.2016 0:45	0,533606667
19.03.2016 1:15	0,37466
19.03.2016 1:45	1,020926667
19.03.2016 2:15	0,46898
19.03.2016 2:45	0,633166667
19.03.2016 3:15	0,703906667
